# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	15483506	15487942	-	XP_002888884.1		XM_002888838.1	hypothetical protein		9324947	ARALYDRAFT_476390	2937	978	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	15678592	15679963	+	XM_002887421.1		XP_002887467.1	SNF7 family protein		9324967	ARALYDRAFT_476433	978	978	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	15678714	15679706	+	XP_002887467.1		XM_002887421.1	SNF7 family protein		9324967	ARALYDRAFT_476433	612	203	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	15749855	15752461	-	XM_002888870.1		XP_002888916.1	hypothetical protein		9324979	ARALYDRAFT_476456	1853	1853	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	15750043	15752356	-	XP_002888916.1		XM_002888870.1	hypothetical protein		9324979	ARALYDRAFT_476456	1560	519	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	15814728	15816689	+	XM_002887436.1		XP_002887482.1	pentatricopeptide repeat-containing protein		9323546	ARALYDRAFT_339543	1473	1473	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	15814728	15816689	+	XP_002887482.1		XM_002887436.1	pentatricopeptide repeat-containing protein		9323546	ARALYDRAFT_339543	1473	490	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16178407	16179151	+	XM_002887484.1		XP_002887530.1	predicted protein		9323594	ARALYDRAFT_895289	217	217	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16178427	16179131	+	XP_002887530.1		XM_002887484.1	hypothetical protein		9323594	ARALYDRAFT_895289	177	58	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16424539	16427091	+	XM_002887511.1		XP_002887557.1	pentatricopeptide repeat-containing protein		9325053	ARALYDRAFT_476612	2538	2538	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16424539	16427091	+	XP_002887557.1		XM_002887511.1	pentatricopeptide repeat-containing protein		9325053	ARALYDRAFT_476612	2538	845	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16597458	16600655	-	XM_002888970.1		XP_002889016.1	hypothetical protein		9323643	ARALYDRAFT_895389	1505	1505	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16597478	16600634	-	XP_002889016.1		XM_002888970.1	hypothetical protein		9323643	ARALYDRAFT_895389	1464	487	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16821202	16824667	-	XM_002888989.1		XP_002889035.1	leucine-rich repeat family protein		9323671	ARALYDRAFT_895437	3466	3466	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16821222	16824647	-	XP_002889035.1		XM_002888989.1	leucine-rich repeat family protein		9323671	ARALYDRAFT_895437	3426	1141	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16833046	16834193	-	XM_002888990.1		XP_002889036.1	hypothetical protein		9325099	ARALYDRAFT_316494	591	591	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16833046	16834193	-	XP_002889036.1		XM_002888990.1	hypothetical protein		9325099	ARALYDRAFT_316494	591	196	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16989542	16990664	-	XM_002889011.1		XP_002889057.1	S-adenosyl-methionine-sterol-C-methyltransferase 3	SMT3	9325120	ARALYDRAFT_895486	1123	1123	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	16989562	16990641	-	XP_002889057.1		XM_002889011.1	S-adenosyl-methionine-sterol-C-methyltransferase 3	SMT3	9325120	ARALYDRAFT_895486	1080	359	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	17069815	17073448	-	XM_002889026.1		XP_002889072.1	hypothetical protein		9323696	ARALYDRAFT_476779	2225	2225	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	17070149	17073263	-	XP_002889072.1		XM_002889026.1	hypothetical protein		9323696	ARALYDRAFT_476779	1719	572	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	17211522	17215759	-	XM_002889042.1		XP_002889088.1	ARID/BRIGHT DNA-binding domain-containing protein		9323708	ARALYDRAFT_476809	1667	1667	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	17211686	17215350	-	XP_002889088.1		XM_002889042.1	ARID/BRIGHT DNA-binding domain-containing protein		9323708	ARALYDRAFT_476809	1314	437	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	17671769	17674652	+	XM_002887642.1		XP_002887688.1	hypothetical protein		9323752	ARALYDRAFT_476916	1749	1749	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	17671880	17674500	+	XP_002887688.1		XM_002887642.1	hypothetical protein		9323752	ARALYDRAFT_476916	1509	502	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18010125	18011536	+	XM_002887674.1		XP_002887720.1	predicted protein		9323784	ARALYDRAFT_677366	327	327	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18010125	18011536	+	XP_002887720.1		XM_002887674.1	hypothetical protein		9323784	ARALYDRAFT_677366	327	108	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18267309	18270298	+	XM_002887698.1		XP_002887744.1	RHM1/ROL1		9325263	ARALYDRAFT_477021	2423	2423	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18267930	18270036	+	XP_002887744.1		XM_002887698.1	RHM1/ROL1		9325263	ARALYDRAFT_477021	2010	669	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18466614	18469274	-	XM_002889182.1		XP_002889228.1	hypothetical protein		9325291	ARALYDRAFT_340056	1614	1614	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18466614	18469274	-	XP_002889228.1		XM_002889182.1	hypothetical protein		9325291	ARALYDRAFT_340056	1614	537	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18502760	18504383	-	XM_002889186.1		XP_002889232.1	hypothetical protein		9323833	ARALYDRAFT_477083	1449	1449	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18503250	18504383	-	XP_002889232.1		XM_002889186.1	hypothetical protein		9323833	ARALYDRAFT_477083	1134	377	partial
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18508628	18512933	-	XM_002889188.1		XP_002889234.1	hypothetical protein		9323834	ARALYDRAFT_895820	2521	2521	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18508648	18512913	-	XP_002889234.1		XM_002889188.1	hypothetical protein		9323834	ARALYDRAFT_895820	2481	826	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18784519	18787434	-	XM_002889216.1		XP_002889262.1	hypothetical protein		9325325	ARALYDRAFT_316857	1098	1098	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18784519	18787434	-	XP_002889262.1		XM_002889216.1	hypothetical protein		9325325	ARALYDRAFT_316857	1098	365	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18921719	18926786	+	XM_002887768.1		XP_002887814.1	transducin family protein		9325341	ARALYDRAFT_477176	1693	1693	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18921772	18926709	+	XP_002887814.1		XM_002887768.1	transducin family protein		9325341	ARALYDRAFT_477176	1563	520	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18951893	18952689	-	XM_002889236.1		XP_002889282.1	hypothetical protein		9323882	ARALYDRAFT_895926	615	615	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	18951915	18952669	-	XP_002889282.1		XM_002889236.1	hypothetical protein		9323882	ARALYDRAFT_895926	573	190	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	19012086	19014414	+	XM_002887780.1		XP_002887826.1	PTAC17		9323890	ARALYDRAFT_477201	1362	1362	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	19012141	19014392	+	XP_002887826.1		XM_002887780.1	PTAC17		9323890	ARALYDRAFT_477201	1314	437	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	19138183	19139057	-	XM_002889260.1		XP_002889306.1	lactoylglutathione lyase family protein		9323908	ARALYDRAFT_316945	492	492	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	19138183	19139057	-	XP_002889306.1		XM_002889260.1	lactoylglutathione lyase family protein		9323908	ARALYDRAFT_316945	492	163	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	19253952	19256244	+	XM_002887809.1		XP_002887855.1	La domain-containing protein		9325385	ARALYDRAFT_477277	1407	1407	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	19253985	19256094	+	XP_002887855.1		XM_002887809.1	La domain-containing protein		9325385	ARALYDRAFT_477277	1239	412	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	19258160	19260140	+	XM_002887810.1		XP_002887856.1	hypothetical protein		9325386	ARALYDRAFT_477280	1647	1647	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302554.1	19258237	19260098	+	XP_002887856.1		XM_002887810.1	hypothetical protein		9325386	ARALYDRAFT_477280	1548	515	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	445554	448707	+	XM_002882159.1		XP_002882205.1	predicted protein		9320368	ARALYDRAFT_896168	1865	1865	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	445620	448504	+	XP_002882205.1		XM_002882159.1	hypothetical protein		9320368	ARALYDRAFT_896168	1596	531	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	637092	639200	+	XM_002882191.1		XP_002882237.1	predicted protein		9318304	ARALYDRAFT_670982	861	861	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	637092	639200	+	XP_002882237.1		XM_002882191.1	hypothetical protein		9318304	ARALYDRAFT_670982	861	286	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	951439	953723	-	XM_002884316.1		XP_002884362.1	predicted protein		9318347	ARALYDRAFT_671063	1446	1446	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	951439	953723	-	XP_002884362.1		XM_002884316.1	hypothetical protein		9318347	ARALYDRAFT_671063	1446	481	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	1311334	1313084	-	XM_002884376.1		XP_002884422.1	binding protein		9318390	ARALYDRAFT_340556	1668	1668	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	1311334	1313084	-	XP_002884422.1		XM_002884376.1	binding protein		9318390	ARALYDRAFT_340556	1668	555	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	1372608	1374891	+	XM_002882287.1		XP_002882333.1	pentatricopeptide repeat-containing protein		9318400	ARALYDRAFT_477674	2266	2266	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	1372642	1374162	+	XP_002882333.1		XM_002882287.1	pentatricopeptide repeat-containing protein		9318400	ARALYDRAFT_477674	1521	506	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	1669359	1669965	-	XM_002884425.1		XP_002884471.1	hypothetical protein		9318442	ARALYDRAFT_896527	607	607	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	1669379	1669945	-	XP_002884471.1		XM_002884425.1	hypothetical protein		9318442	ARALYDRAFT_896527	567	188	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	2163471	2167572	+	XM_002882384.1		XP_002882430.1	hypothetical protein		9320590	ARALYDRAFT_477858	2911	2911	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	2164121	2167525	+	XP_002882430.1		XM_002882384.1	hypothetical protein		9320590	ARALYDRAFT_477858	2610	869	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	2232587	2234168	-	XM_002884485.1		XP_002884531.1	predicted protein		9318502	ARALYDRAFT_671360	1206	1206	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	2232587	2234168	-	XP_002884531.1		XM_002884485.1	hypothetical protein		9318502	ARALYDRAFT_671360	1206	401	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	2316172	2318185	-	XM_002884499.1		XP_002884545.1	hypothetical protein		9320611	ARALYDRAFT_340770	1260	1260	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	2316172	2318185	-	XP_002884545.1		XM_002884499.1	hypothetical protein		9320611	ARALYDRAFT_340770	1260	419	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	2551002	2551452	+	XM_002882419.1		XP_002882465.1	hypothetical protein		9320640	ARALYDRAFT_477939	451	451	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	2551036	2551410	+	XP_002882465.1		XM_002882419.1	hypothetical protein		9320640	ARALYDRAFT_477939	375	124	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	2929812	2930140	+	XM_002882458.1		XP_002882504.1	hypothetical protein		9318571	ARALYDRAFT_317561	213	213	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	2929812	2930140	+	XP_002882504.1		XM_002882458.1	hypothetical protein		9318571	ARALYDRAFT_317561	213	70	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3091138	3094883	-	XM_002884597.1		XP_002884643.1	hypothetical protein		9320709	ARALYDRAFT_478055	2659	2659	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3091596	3094721	-	XP_002884643.1		XM_002884597.1	hypothetical protein		9320709	ARALYDRAFT_478055	2049	682	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3182797	3184021	+	XM_002882489.1		XP_002882535.1	F-box family protein		9320723	ARALYDRAFT_896923	1225	1225	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3182817	3184001	+	XP_002882535.1		XM_002882489.1	F-box family protein		9320723	ARALYDRAFT_896923	1185	394	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3327837	3335349	-	XM_002884628.1		XP_002884674.1	predicted protein		9318632	ARALYDRAFT_671628	4113	4113	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3327837	3335349	-	XP_002884674.1		XM_002884628.1	hypothetical protein		9318632	ARALYDRAFT_671628	4113	1370	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3637911	3638731	-	XM_002884671.1		XP_002884717.1	hypothetical protein		9318675	ARALYDRAFT_478232	459	459	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3637911	3638731	-	XP_002884717.1		XM_002884671.1	hypothetical protein		9318675	ARALYDRAFT_478232	459	152	partial
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3704715	3707156	-	XM_002884681.1		XP_002884727.1	zinc finger family protein		9318681	ARALYDRAFT_478246	1351	1351	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3705116	3707047	-	XP_002884727.1		XM_002884681.1	zinc finger family protein		9318681	ARALYDRAFT_478246	861	286	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3811120	3814002	-	XM_002884698.1		XP_002884744.1	hypothetical protein		9318696	ARALYDRAFT_317764	2793	2793	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3811120	3814002	-	XP_002884744.1		XM_002884698.1	hypothetical protein		9318696	ARALYDRAFT_317764	2793	930	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3814279	3816105	+	XM_002882584.1		XP_002882630.1	60S ribosomal protein L4/L1		9320811	ARALYDRAFT_478282	1418	1418	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3814355	3815984	+	XP_002882630.1		XM_002882584.1	60S ribosomal protein L4/L1		9320811	ARALYDRAFT_478282	1221	406	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3912312	3914128	+	XM_002882597.1		XP_002882643.1	hypothetical protein		9318709	ARALYDRAFT_478314	857	857	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	3912404	3914020	+	XP_002882643.1		XM_002882597.1	hypothetical protein		9318709	ARALYDRAFT_478314	657	218	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	4017484	4020670	-	XM_002884729.1		XP_002884775.1	tata-associated factor II 58	TAFII58	9318718	ARALYDRAFT_478335	1939	1939	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	4017808	4020653	-	XP_002884775.1		XM_002884729.1	tata-associated factor II 58	TAFII58	9318718	ARALYDRAFT_478335	1626	541	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	4054255	4065867	-	XM_002884735.1		XP_002884781.1	hypothetical protein		9320847	ARALYDRAFT_478343	4134	4134	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	4054255	4065867	-	XP_002884781.1		XM_002884735.1	hypothetical protein		9320847	ARALYDRAFT_478343	4134	1377	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	4856436	4863994	+	XM_002882716.1		XP_002882762.1	hypothetical protein		9318828	ARALYDRAFT_478554	3012	3012	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	4856436	4863994	+	XP_002882762.1		XM_002882716.1	hypothetical protein		9318828	ARALYDRAFT_478554	3012	1003	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5101906	5103212	-	XM_002884878.1		XP_002884924.1	hypothetical protein		9318854	ARALYDRAFT_897485	1108	1108	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5101926	5103192	-	XP_002884924.1		XM_002884878.1	hypothetical protein		9318854	ARALYDRAFT_897485	1068	355	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5449802	5450914	+	XM_002882776.1		XP_002882822.1	zinc finger family protein		9318888	ARALYDRAFT_478724	1113	1113	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5450030	5450914	+	XP_002882822.1		XM_002882776.1	zinc finger family protein		9318888	ARALYDRAFT_478724	885	294	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5495910	5503466	-	XM_002884924.1		XP_002884970.1	MAPKKK7		9318896	ARALYDRAFT_478740	4296	4296	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5496124	5503454	-	XP_002884970.1		XM_002884924.1	MAPKKK7		9318896	ARALYDRAFT_478740	4098	1365	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5512212	5515048	-	XM_002884926.1		XP_002884972.1	glycosyl hydrolase family 17 protein		9321038	ARALYDRAFT_478745	1984	1984	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5512388	5514202	-	XP_002884972.1		XM_002884926.1	glycosyl hydrolase family 17 protein		9321038	ARALYDRAFT_478745	1506	501	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5617136	5619082	+	XM_002882795.1		XP_002882841.1	hypothetical protein		9321052	ARALYDRAFT_478773	935	935	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5617140	5618889	+	XP_002882841.1		XM_002882795.1	hypothetical protein		9321052	ARALYDRAFT_478773	738	245	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5732926	5733513	-	XM_002884950.1		XP_002884996.1	hypothetical protein		9318926	ARALYDRAFT_478797	538	538	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	5733153	5733467	-	XP_002884996.1		XM_002884950.1	hypothetical protein		9318926	ARALYDRAFT_478797	315	104	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	6126683	6131678	+	XM_002882841.1		XP_002882887.1	CYP72A7		9318953	ARALYDRAFT_478880	1783	1783	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	6126779	6131530	+	XP_002882887.1		XM_002882841.1	CYP72A7		9318953	ARALYDRAFT_478880	1539	512	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	6134612	6143247	+	XM_002882842.1		XP_002882888.1	CYP72A15		9321118	ARALYDRAFT_478882	1621	1621	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	6134627	6142944	+	XP_002882888.1		XM_002882842.1	CYP72A15		9321118	ARALYDRAFT_478882	1539	512	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	6169475	6172196	+	XM_002882847.1		XP_002882893.1	hypothetical protein		9321123	ARALYDRAFT_478892	2285	2285	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	6169913	6171996	+	XP_002882893.1		XM_002882847.1	hypothetical protein		9321123	ARALYDRAFT_478892	1995	664	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	6740735	6741410	+	XM_002882928.1		XP_002882974.1	hypothetical protein		9319040	ARALYDRAFT_897904	237	237	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	6740756	6741389	+	XP_002882974.1		XM_002882928.1	hypothetical protein		9319040	ARALYDRAFT_897904	195	64	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	6993436	6995960	-	XM_002885103.1		XP_002885149.1	DEGP12		9321215	ARALYDRAFT_479118	1503	1503	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	6993436	6995960	-	XP_002885149.1		XM_002885103.1	DEGP12		9321215	ARALYDRAFT_479118	1503	500	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	7047066	7050462	-	XM_002885112.1		XP_002885158.1	hypothetical protein		9321224	ARALYDRAFT_479127	3377	3377	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	7047247	7050462	-	XP_002885158.1		XM_002885112.1	hypothetical protein		9321224	ARALYDRAFT_479127	3216	1071	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	7428088	7429924	-	XM_002885163.1		XP_002885209.1	S-adenosylmethionine synthase 3	MTO3	9319125	ARALYDRAFT_479215	1616	1616	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	7428325	7429506	-	XP_002885209.1		XM_002885163.1	S-adenosylmethionine synthase 3	MTO3	9319125	ARALYDRAFT_479215	1182	393	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	7812538	7812817	-	XM_002885199.1		XP_002885245.1	hypothetical protein		9319189	ARALYDRAFT_479323	280	280	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	7812580	7812807	-	XP_002885245.1		XM_002885199.1	hypothetical protein		9319189	ARALYDRAFT_479323	228	75	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	8033120	8034489	-	XM_002885228.1		XP_002885274.1	U-box domain-containing protein		9321340	ARALYDRAFT_479377	1355	1355	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	8033230	8034489	-	XP_002885274.1		XM_002885228.1	U-box domain-containing protein		9321340	ARALYDRAFT_479377	1260	419	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9043302	9043995	+	XM_002883211.1		XP_002883257.1	hypothetical protein		9321451	ARALYDRAFT_898483	433	433	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9043322	9043975	+	XP_002883257.1		XM_002883211.1	hypothetical protein		9321451	ARALYDRAFT_898483	393	130	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9235836	9238168	-	XM_002885366.1		XP_002885412.1	hypothetical protein		9319345	ARALYDRAFT_479619	1305	1305	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9236010	9238132	-	XP_002885412.1		XM_002885366.1	hypothetical protein		9319345	ARALYDRAFT_479619	1095	364	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9533823	9537230	-	XM_002885398.1		XP_002885444.1	1-deoxyxylulose-5-phosphate synthase		9319377	ARALYDRAFT_479668	2227	2227	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9534026	9537132	-	XP_002885444.1		XM_002885398.1	1-deoxyxylulose-5-phosphate synthase		9319377	ARALYDRAFT_479668	1968	655	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9587575	9589816	-	XM_002885410.1		XP_002885456.1	hypothetical protein		9321522	ARALYDRAFT_898613	1139	1139	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9587596	9589796	-	XP_002885456.1		XM_002885410.1	hypothetical protein		9321522	ARALYDRAFT_898613	1098	365	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9786581	9787360	+	XM_002883294.1		XP_002883340.1	predicted protein		9321545	ARALYDRAFT_342350	780	780	partial
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9786581	9787360	+	XP_002883340.1		XM_002883294.1	hypothetical protein		9321545	ARALYDRAFT_342350	780	259	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9797067	9797730	+	XM_002883295.1		XP_002883341.1	hypothetical protein		9321547	ARALYDRAFT_479724	525	525	
CDS		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9797111	9797666	+	XP_002883341.1		XM_002883295.1	hypothetical protein		9321547	ARALYDRAFT_479724	417	138	
mRNA		GCF_000004255.1	Primary Assembly	unplaced scaffold		NW_003302553.1	9995986	10000404	+	XM_002883315.1		XP_002883361.1	lipoxygenase		9319428	ARALYDRAFT_479752	2715	2715	
